city_name,Date,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
muros,1596065420,ES,42.78,-9.06,73.0,78,0,1.01
cidreira,1596065162,BR,-30.18,-50.21,46.29,75,3,4.18
santarem,1596065421,BR,-2.44,-54.71,78.8,69,23,4.7
narsaq,1596065421,GL,60.92,-46.05,53.6,71,28,5.82
mashivka,1596065421,UA,49.44,34.87,68.56,63,32,6.82
cabo rojo,1596065435,PR,18.09,-67.15,81.0,83,94,3.0
mangai,1596065435,CD,-4.05,19.53,74.37,55,11,0.63
lorengau,1596065435,PG,-2.02,147.27,85.26,63,17,6.22
yellowknife,1596065435,CA,62.46,-114.35,73.4,46,40,10.29
leningradskiy,1596065435,RU,69.38,178.42,43.52,71,16,13.78
auki,1596065435,SB,-8.77,160.7,85.17,66,87,2.64
tasiilaq,1596065435,GL,65.61,-37.64,44.6,70,68,9.17
saint-pierre,1596065436,RE,-21.34,55.48,66.2,82,33,6.93
lompoc,1596065436,US,34.64,-120.46,70.0,72,7,14.99
ushuaia,1596065436,AR,-54.8,-68.3,37.4,74,40,20.8
elko,1596065436,US,41.0,-115.5,96.8,8,20,3.36
kapaa,1596065436,US,22.08,-159.32,82.4,69,20,18.34
pevek,1596065436,RU,69.7,170.31,37.2,93,100,4.81
caravelas,1596065436,BR,-17.71,-39.25,68.7,75,0,3.38
georgetown,1596065168,MY,5.41,100.34,80.6,88,40,2.24
perelyub,1596065437,RU,51.87,50.37,66.97,56,10,3.09
hilo,1596065437,US,19.73,-155.09,84.2,51,1,9.17
san francisco,1596065402,US,37.77,-122.42,70.0,63,20,24.16
carnarvon,1596065437,AU,-24.87,113.63,48.2,100,0,6.93
pyatnitskoye,1596065438,RU,50.42,37.83,68.99,57,90,7.81
busselton,1596065438,AU,-33.65,115.33,45.0,96,82,5.79
sioux lookout,1596065438,CA,50.1,-91.92,73.4,53,20,6.93
jamestown,1596065438,US,42.1,-79.24,75.99,78,75,5.82
poum,1596065438,NC,-20.23,164.02,73.74,88,30,22.28
barrow,1596065438,US,71.29,-156.79,46.4,75,1,25.28
dikson,1596065438,RU,73.51,80.55,49.12,77,62,6.2
bredasdorp,1596065439,ZA,-34.53,20.04,57.2,76,9,11.41
mangrol,1596065439,IN,21.12,70.12,84.07,80,100,13.22
roebourne,1596065439,AU,-20.78,117.13,67.46,27,0,12.35
atuona,1596065439,PF,-9.8,-139.03,78.84,75,6,19.82
las navas,1596065439,PH,12.34,125.03,80.11,85,100,1.66
port elizabeth,1596065439,ZA,-33.92,25.57,59.0,72,2,9.17
punta arenas,1596065339,CL,-53.15,-70.92,39.2,80,99,10.29
misratah,1596065439,LY,32.38,15.09,78.8,69,0,7.76
arraial do cabo,1596065440,BR,-22.97,-42.03,71.6,78,40,11.41
chuy,1596065440,UY,-33.7,-53.46,42.55,83,0,2.84
namie,1596065440,JP,37.48,141.0,73.0,97,90,6.64
saint-philippe,1596065440,RE,-21.36,55.77,66.2,82,6,6.93
vila velha,1596065440,BR,-20.33,-40.29,75.99,83,20,1.12
esqueda,1596065440,MX,30.72,-109.58,94.35,25,23,7.65
podstepki,1596065440,RU,53.52,49.14,62.6,67,51,2.24
butaritari,1596065441,KI,3.07,172.79,82.92,74,25,17.4
qaanaaq,1596065441,GL,77.48,-69.36,42.58,68,1,2.06
avanigadda,1596065441,IN,16.02,80.92,81.95,84,99,4.56
adrar,1596065441,MR,20.5,-10.07,92.48,32,19,14.65
chokurdakh,1596065441,RU,70.63,147.92,47.55,58,75,8.99
labuhan,1596065441,ID,-6.88,112.21,73.92,74,99,11.05
ribeira grande,1596065441,PT,38.52,-28.7,74.23,91,23,22.03
klaksvik,1596065441,FO,62.23,-6.59,46.4,87,96,8.05
codrington,1596065442,AU,-38.27,141.97,49.06,85,63,5.59
ginosa,1596065442,IT,40.58,16.76,82.99,64,0,2.24
plettenberg bay,1596065442,ZA,-34.05,23.37,56.88,74,1,10.8
hermanus,1596065442,ZA,-34.42,19.23,57.0,81,23,8.59
solnechnyy,1596065443,RU,50.72,136.63,81.68,65,21,2.35
manggar,1596065443,ID,-2.88,108.27,79.92,77,89,11.7
ust-koksa,1596065443,RU,50.27,85.61,50.95,81,41,1.66
rikitea,1596065443,PF,-23.12,-134.97,73.29,84,74,14.67
dhari,1596065443,IN,21.33,71.02,79.41,87,100,8.79
mabaruma,1596065443,GY,8.2,-59.78,77.65,88,76,5.88
nikolskoye,1596065443,RU,59.7,30.79,57.2,82,40,6.71
faya,1596065443,SA,18.39,42.45,64.4,93,40,5.44
wajir,1596065443,KE,1.75,40.06,73.76,74,0,11.97
komsomolskiy,1596065444,UZ,40.43,71.72,75.2,44,0,6.93
pingliang,1596065195,CN,35.54,106.69,67.19,77,3,1.25
igrim,1596065444,RU,63.19,64.42,49.87,69,93,1.99
hobart,1596065314,AU,-42.88,147.33,50.0,61,20,6.93
houma,1596065181,US,29.6,-90.72,90.0,70,40,5.82
sergeyevka,1596065444,KZ,53.88,67.42,54.75,90,97,5.95
puerto madero,1596065444,MX,14.72,-92.42,82.4,88,90,3.36
thompson,1596065444,CA,55.74,-97.86,75.2,57,20,4.7
bahar,1596065445,IR,34.91,48.44,67.23,37,25,2.91
bluff,1596065445,NZ,-46.6,168.33,54.3,70,100,12.8
sungairaya,1596065445,ID,0.7,108.9,76.84,89,92,10.04
bethel,1596065445,US,41.37,-73.41,88.0,62,1,8.05
praia da vitoria,1596065445,PT,38.73,-27.07,75.2,83,40,16.96
khatanga,1596065445,RU,71.97,102.5,62.08,57,100,13.35
paamiut,1596065445,GL,61.99,-49.67,47.28,91,89,2.28
port lincoln,1596065446,AU,-34.73,135.87,55.53,79,0,4.32
karaton,1596065446,ID,-6.34,106.1,77.0,83,20,5.82
albany,1596065421,US,42.6,-73.97,73.99,69,28,5.59
port alfred,1596065446,ZA,-33.59,26.89,58.46,68,0,18.81
riyadh,1596065210,SA,24.69,46.72,91.4,31,27,6.87
mataura,1596065446,NZ,-46.19,168.86,53.58,74,100,3.2
iqaluit,1596065412,CA,63.75,-68.51,69.8,49,20,16.11
bambous virieux,1596065447,MU,-20.34,57.76,70.0,83,75,8.05
richards bay,1596065447,ZA,-28.78,32.04,62.96,82,73,2.77
tubuala,1596065447,PA,9.52,-79.03,84.2,79,40,3.36
faanui,1596065447,PF,-16.48,-151.75,79.54,78,100,18.19
grindavik,1596065447,IS,63.84,-22.43,50.0,93,90,9.17
hoopstad,1596065447,ZA,-27.83,25.91,47.05,52,0,5.37
alexandroupoli,1596065447,GR,40.85,25.87,75.99,63,0,8.99
srednekolymsk,1596065448,RU,67.45,153.68,52.23,59,96,14.29
san luis,1596065448,AR,-33.3,-66.34,47.53,50,0,7.27
vao,1596065448,NC,-22.67,167.48,72.25,84,75,25.84
fomboni,1596065448,KM,-12.28,43.74,76.01,87,78,13.85
hvide sande,1596065448,DK,56.0,8.13,55.99,81,84,1.99
saint george,1596065448,US,37.1,-113.58,106.0,6,1,12.75
sarangani,1596065448,PH,5.4,125.46,81.59,78,100,7.99
high level,1596065449,CA,58.52,-117.14,73.4,40,75,4.7
liepaja,1596065449,LV,56.54,21.04,62.6,77,24,19.46
tuktoyaktuk,1596065446,CA,69.45,-133.04,53.6,76,75,9.17
haines junction,1596065449,CA,60.75,-137.51,74.7,40,32,1.92
kavieng,1596065449,PG,-2.57,150.8,83.93,68,6,5.75
san cristobal,1596065389,VE,7.77,-72.22,87.8,55,40,9.17
fortuna,1596065449,US,40.6,-124.16,68.0,76,22,3.0
nishihara,1596065450,JP,26.18,127.76,86.0,83,75,16.11
castro,1596065450,BR,-24.79,-50.01,52.75,97,100,8.79
clyde river,1596065450,CA,70.47,-68.59,41.0,93,75,12.75
upernavik,1596065450,GL,72.79,-56.15,42.87,88,40,6.02
xudat,1596065450,AZ,41.63,48.68,71.55,68,62,3.8
itarema,1596065450,BR,-2.92,-39.92,78.17,78,15,13.38
mar del plata,1596065450,AR,-38.0,-57.56,48.99,87,0,3.36
nabire,1596065450,ID,-3.37,135.48,82.35,71,14,2.24
abay,1596065451,KZ,49.63,72.85,48.2,93,0,3.62
east london,1596065451,ZA,-33.02,27.91,59.4,69,0,10.94
sola,1596065451,VU,-13.88,167.55,78.8,94,90,18.84
bone,1596065451,DE,51.97,12.14,55.99,68,43,4.65
namibe,1596065451,AO,-15.2,12.15,62.15,82,57,7.11
yinchuan,1596065451,CN,38.47,106.27,81.16,36,99,17.6
fare,1596065451,PF,-16.7,-151.02,79.97,77,100,19.42
vaini,1596065452,TO,-21.2,-175.2,71.6,78,75,19.46
kayes,1596065452,ML,14.0,-11.0,77.34,86,100,3.56
ambon,1596065452,ID,-3.7,128.18,79.0,88,75,8.05
hasaki,1596065452,JP,35.73,140.83,70.0,94,75,9.17
guerrero negro,1596065452,MX,27.98,-114.06,76.6,59,2,17.02
saskylakh,1596065452,RU,71.92,114.08,55.89,63,0,3.71
kaitangata,1596065453,NZ,-46.28,169.85,55.0,73,100,1.99
zhuhai,1596065453,CN,22.28,113.57,87.01,83,40,11.41
laguna,1596065453,US,38.42,-121.42,99.0,16,1,11.41
half moon bay,1596065247,US,37.46,-122.43,77.0,87,90,6.93
victoria,1596065349,HK,22.29,114.16,84.99,92,100,13.31
papetoai,1596065453,PF,-17.5,-149.87,82.4,69,75,19.46
la romana,1596065453,DO,18.43,-68.97,86.0,70,75,18.34
cherskiy,1596065454,RU,68.75,161.3,49.06,61,15,17.47
areosa,1596065454,PT,41.72,-8.86,73.0,93,0,3.49
charcas,1596065454,MX,23.13,-101.12,67.59,70,100,15.59
buchanan,1596065454,LR,5.88,-10.05,77.0,83,75,3.36
olkusz,1596065454,PL,50.28,19.57,61.0,86,38,1.68
kodiak,1596065448,US,57.79,-152.41,68.0,56,1,10.29
slave lake,1596065454,CA,55.28,-114.77,71.6,78,90,3.36
pinawa,1596065454,CA,50.15,-95.88,75.16,57,14,6.35
tagbac,1596065455,PH,7.09,125.16,75.2,100,90,1.7
padang,1596065455,ID,-0.95,100.35,77.85,71,99,4.03
dingle,1596065455,PH,11.0,122.67,81.81,82,73,9.86
ambilobe,1596065455,MG,-13.2,49.05,67.35,82,19,3.98
coos bay,1596065285,US,43.37,-124.22,75.0,68,1,12.75
ust-omchug,1596065455,RU,61.15,149.63,51.51,50,83,11.81
novosheshminsk,1596065455,RU,55.07,51.23,61.47,72,30,8.61
vanimo,1596065455,PG,-2.67,141.3,84.25,67,9,6.51
cape town,1596065282,ZA,-33.93,18.42,55.99,100,40,6.93
sao filipe,1596065456,CV,14.9,-24.5,77.43,87,59,6.46
ostrovnoy,1596065456,RU,68.05,39.51,48.42,92,4,12.3
hamilton,1596065456,US,39.18,-84.53,91.0,48,1,6.93
puerto ayora,1596065455,EC,-0.74,-90.35,68.0,89,73,1.99
flinders,1596065456,AU,-34.58,150.86,60.01,71,1,10.0
loznica,1596065456,RS,44.53,19.22,69.01,93,0,1.12
kahului,1596065457,US,20.89,-156.47,89.6,43,20,23.04
tanete,1596065457,ID,-3.94,119.78,77.45,76,13,9.86
sorland,1596065457,NO,67.67,12.69,60.33,75,73,7.11
nerchinskiy zavod,1596065457,RU,51.31,119.61,65.34,92,55,1.03
cabo san lucas,1596065457,MX,22.89,-109.91,89.6,61,40,12.75
bocos,1596065457,PH,16.93,121.06,67.26,94,100,2.86
grants pass,1596065458,US,42.44,-123.33,100.4,15,20,8.05
oranjemund,1596065458,NA,-28.55,16.43,53.83,83,0,11.88
kyaikkami,1596065458,MM,16.08,97.57,78.67,85,97,4.85
mareeba,1596065458,AU,-17.0,145.43,69.01,61,12,1.99
santiago de las vegas,1596065458,CU,22.97,-82.39,84.2,79,40,12.75
college,1596065332,US,64.86,-147.8,68.0,52,75,8.05
bowen,1596065459,AU,-20.02,148.23,72.0,68,0,4.7
avarua,1596065459,CK,-21.21,-159.78,71.6,78,36,10.29
guayaramerin,1596065459,BO,-10.84,-65.36,81.03,50,25,3.4
xiashi,1596065459,CN,30.54,120.69,84.2,74,99,6.71
dom pedrito,1596065198,BR,-30.98,-54.67,40.41,82,0,4.5
